0,0
4405.71,14269,
4407.59,14269,
4409.61,14269,
4411.43,14269,
4413.54,14269,
4415.41,14269,
4417.24,14269,
4419.05,14269,
4420.86,14269,
4422.73,14269,
4424.55,14269,
4428.33,14269,
4430.16,14269,
4432.19,14269,
4434.05,14269,
4435.90,14269,
4437.72,14269,
4439.76,14269,
4441.85,14269,
4443.98,14269,
4445.82,14269,
4447.66,14269,
4449.49,14269,
4451.59,14269,
4453.60,14269,
4455.44,14269,
4457.31,14269,
4459.44,14269,
4461.31,14269,
4464.95,14269,
4467.10,14269,
4468.97,14269,
4472.57,14269,
4474.72,14269,
4476.60,14269,
4478.46,14269,
4480.27,14269,
4482.09,14269,
4484.12,14269,
4486.14,14269,
4487.99,14269,
4491.82,14269,
4497.28,14269,
4499.27,14269,
4501.13,14269,
4506.82,14269,
4508.88,14269,
4510.96,14269,
4514.62,14269,
4516.49,14269,
4518.51,14269,
4520.36,14269,
4522.20,14269,
4524.04,14269,
4525.90,14269,
4527.74,14269,
4529.55,14269,
4531.39,14269,
4533.42,14269,
4535.59,14269,
4537.43,14269,
4539.45,14269,
4541.57,14269,
4543.43,14269,
4545.50,14269,
4547.37,14269,
4549.22,14269,
4551.05,14269,
4552.89,14269,
4555.02,14269,
4557.06,14269,
4559.13,14269,
4561.20,14269,
4563.09,14269,
4565.15,14269,
4567.26,14269,
4569.11,14269,
4570.95,14269,
4572.82,14269,
4574.97,14269,
4576.85,14269,
4578.99,14269,
4581.02,14269,
4583.07,14269,
4584.93,14269,
4587.01,14269,
4589.04,14269,
4590.88,14269,
4592.89,14269,
4596.57,14269,
4598.58,14269,
4600.42,14269,
4602.27,14269,
4604.11,14269,
4606.19,14269,
4608.05,14269,
4609.91,14269,
4613.69,14269,
4615.53,14269,
4617.68,14269,
4619.52,14269,
4621.51,14269,
4623.55,14269,
4625.40,14269,
4627.39,14269,
4629.41,14269,
4631.39,14269,
4633.23,14269,
4635.05,14269,
4637.09,14269,
4638.93,14269,
4640.77,14269,
4642.61,14269,
4644.43,14269,
4646.45,14269,
4648.31,14269,
4650.11,14269,
4651.95,14269,
4654.02,14269,
4655.87,14269,
4657.70,14269,
4659.54,14269,
4661.37,14269,
4663.42,14269,
4668.87,14269,
4670.85,14269,
4672.94,14269,
4676.58,14269,
4678.42,14269,
4680.26,14269,
4682.11,14269,
4684.24,14269,
4686.07,14269,
4687.88,14269,
4689.72,14269,
4691.55,14269,
4693.40,14269,
4695.23,14269,
4699.04,14269,
4700.90,14269,
4702.77,14269,
4704.76,14269,
4706.76,14269,
4708.73,14269,
4710.60,14269,
4712.44,14269,
4714.32,14269,
4716.21,14269,
4718.05,14269,
4720.04,14269,
4722.14,14269,
4723.97,14269,
4725.79,14269,
4727.65,14269,
4729.47,14269,
4731.46,14269,
4733.52,14269,
4735.36,14269,
4737.20,14269,
4739.05,14269,
4740.88,14269,
4742.72,14269,
4744.59,14269,
4746.61,14269,
4748.45,14269,
4750.30,14269,
4752.35,14269,
4755.98,14269,
4757.81,14269,
4759.66,14269,
4761.50,14269,
4763.37,14269,
4765.38,14269,
4767.21,14269,
4769.05,14269,
4770.87,14269,
4772.93,14269,
4774.80,14269,
4776.65,14269,
4778.50,14269,
4783.96,14269,
4785.78,14269,
4787.61,14269,
4789.78,14269,
4791.62,14269,
4793.46,14269,
4795.30,14269,
4797.14,14269,
4798.98,14269,
4801.05,14269,
